導演1分數,導演2分數,導演3分數,演員1分數,演員2分數,演員3分數,演員4分數,編劇1分數,編劇2分數,編劇3分數,編劇4分數
250961,-1,-1,4505,-1,-1,-1,250961,3684,-1,-1
-1,-1,-1,1078179,11441,100060,118897,-1,-1,-1,-1
-1,-1,-1,1115,-1,122841,650024,-1,-1,-1,-1
168926,-1,-1,282468,9087,374779,763747,192497,-1,-1,-1
-1,-1,-1,109818,3168,2671,63054,-1,-1,-1,-1
13384,-1,-1,-1,898673,5388,42426,13384,-1,-1,-1
-1,-1,-1,214286,24847,525306,18110,-1,-1,-1,-1
-1,-1,-1,2193711,38126,2728331,161,-1,4992,-1,-1
-1,-1,-1,-1,183931,16758,7636,-1,-1,-1,-1
-1,-1,-1,159786,981406,1404,81642,-1,-1,-1,-1
21035,-1,-1,287101,67304,1707395,66779,21035,7934,-1,-1
-1,-1,-1,16000678,1759988,258043,200,-1,-1,-1,-1
-1,-1,-1,12916,763747,-1,-1,-1,-1,-1,-1
-1,-1,-1,134812,267209,18587,984785,-1,-1,-1,-1
60356,-1,-1,31814,-1,2666,964,-1,-1,-1,-1
-1,-1,-1,9682,532,4814,-1,-1,-1,-1,-1
-1,-1,-1,33775,31178,1306,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,25468,3284,-1,-1,-1,-1,-1,-1
494,-1,-1,2192592,-1,-1,-1,494,256,1245,-1
20423,-1,-1,65180,1336209,6742,-1,20423,-1,-1,-1
411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1618,-1,-1,3631369,761077,112396,6390681,1618,-1,-1,-1
3473,-1,-1,13835064,202099,795932,2623619,3473,197,-1,-1
2136,-1,-1,2611157,-1,-1,-1,2136,-1,-1,-1
-1,-1,-1,22155,523334,38226,22887,-1,-1,-1,-1
73995,-1,-1,1670993,378002,292406,68334,12730,1517,-1,-1
50972,-1,-1,50972,349027,61941,269415,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
727,-1,-1,387287,32151,16190845,-1,-1,-1,-1,-1
-1,-1,-1,117097,318209,-1,8561,-1,-1,-1,-1
-1,-1,-1,30777,17160,-1,-1,-1,-1,-1,-1
-1,-1,-1,350931,261272,-1,-1,-1,-1,-1,-1
3166,-1,-1,158000,1200000,78400,-1,365,-1,-1,-1
-1,-1,-1,437000,760000,2420000,-1,-1,-1,-1,-1
437000,-1,-1,1265,98,-1,-1,437000,-1,-1,-1
-1,-1,-1,135000,5230,1435,-1,-1,-1,-1,-1
