上映日期,中文片名,出品,累計銷售金額,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算,類型,,喜歡,不喜歡,預告觀看次數
2019/4/4,奇幻遊樂園,PARAMOUNT PICTURES CORPORATION,11585892,0,Dylan Brown,Jennifer Garner,Matthew Broderick,Mila Kunis,Ken Jeong,Josh Appelbaum、Andr? Nemec,no,家庭、奇幻、冒險、動畫,,137,36,"315,247"
2019/4/4,我和我的摔角家庭,UNIVERSAL INTERNATIONAL FILMS LLC,11192067,0,Stephen Merchant,Dwayne Johnson,Lena Headey,Vince Vaughn,Jack Lowden,Stephen Merchant,no,傳記、喜劇、劇情、運動,,1262,18,"957,349"
2019/4/3,沙贊,WARNER BROS. PICTURES INTERNATIONAL.,130867752,0,David F. Sandberg,Mark Strong,Djimon Hounsou,no,no,Henry Gayden,no,科幻、奇幻、動作,,4795,199,"926,074"
2019/4/3,侵密室友,"ANTON CAPITAL ENTERTAINMENT, S.C.A.",5912210,0,Neil Jordan,Neil Jordan,Ray Wright,Neil Jordan,Isabelle Huppert,Ray Wright,no,劇情、恐怖、驚悚、懸疑,,1001,26,"214,674"
2019/3/29,他們不再老去,WARNER BROS. PICTURES INTERNATIONAL.,1563649,0,Peter Jackson,no,no,no,no,no,no,紀錄、歷史,,1570,8,"432,782"
2019/3/29,屍降,M PICTURES COMPANY LIMITED,7242638,0,Wisit Sasanatieng,Ananda Everingham,嘉娜_Ja,波麗索娜琳_Poly,no,Wisit Sasanatieng,no,恐怖,,86,12,"46,318"
2019/3/29,小飛象,"BUENA VISTA INTERNATIONAL, INC.",86346048,648,Tim Burton,Eva Green,Colin Farrell,Michael Keaton,Alan Arkin,Ehren Kruger,1.7億,家庭、奇幻、動畫,,2759,91,"362,707"
2019/3/29,愛上觸不到的你,CBS Films Inc.,28219672,0,Justin Baldoni,Cole Sprouse,Haley Lu Richardson,Claire Forlani,no,Mikki Daughtry、Tobias Iaconis,no,愛情、劇情,,2427,18,"169,077"
2019/3/29,失控危城,"Arclight Films International, Pty., Ltd.",33220188,0,Anthony Maras,Armie Hammer,Dev Patel,no,no,John Collee,no,劇情、驚悚,,434,9,"79,332"
2019/3/22,庫爾斯克號深海救援,EuropaCorp,15326124,582,Thomas Vinterberg,Matthias Schoenaerts,Colin Firth,L?a Seydoux,Max von Sydow,Robert Rodat,2000萬,動作、劇情,,312,6,"66,083"
2019/3/22,騙局,Latido Consorcio De Exportacion Del Cine Espanol SL,1427918,921,Rodrigo Sorogoyen,Antonio de la Torre,no,no,no,Rodrigo Sorogoyen、Isabel Pe?a,no,劇情、驚悚,,98,2,"14,225"
2019/3/22,跳痛先生,"International Production Associates, Inc.",2912527,0,Vasan Bala,Abhimanyu Dasani,Radhika Madan,Gulshan Devaiah,no,Vasan Bala、Hussain Haidry、Garima Obrah,no,動作、喜劇,,475,29,"41,001"
2019/3/22,我們,UNIVERSAL INTERNATIONAL FILMS LLC,63212121,1826,Jordan Peele,Lupita Nyong'o,Winston Duke,Elisabeth Moss,no,Jordan Peele,2000萬,恐怖、驚悚,,3110,85,"1,285,658"
2019/3/22,來了,"TOHO CO., LTD.",1821315,2016,中島哲也,小松菜奈,黑木華,松隆子,岡田准一,中島哲也、岩井秀人、Nobuhiro Monma,,劇情、推理,,224,8,"68,939"
2019/3/22,老大人,興揚電影有限公司##中環國際娛樂事業股份有限公司##(大陸)海寧鐵幕真文化傳媒有限公司##(大陸)喀什嘉映文化傳媒有限公司,13445081,0,洪伯豪,小戽斗,黃嘉千,喜翔,no,林?政,no,劇情,,491,11,"222,673"
2019/3/22,幼女戰記劇場版,株式會社KADOKAWA,1894592,0,上村泰,悠木碧,早見沙織,三木真一郎,大塚芳忠,上村泰,no,動畫、奇幻,,319,10,"32,421"
2019/3/15,厄夜追緝令,TRUSTNORDISK APS,2096987,0,Gustav M?ller,Jakob Cedergren,no,no,no,Gustav M?ller、Emil Nygaard Albertsen,no,犯罪、劇情、驚悚,,35,1,"22,625"
2019/3/15,苦兒流浪記,TF1 DROITS AUDIOVISUELS,1134177,900,Antoine Blossier,Daniel Auteuil,Maleaume Paquin,Virginie Ledoyen,Ludivine Sagnier,Antoine Blossier,no,喜劇、劇情、家庭,,110,3,"169,066"
2019/3/15,假面飯店,"PONY CANYON, INC.",11317083,445,鈴木雅之,木村拓哉,長澤雅美,松隆子,生瀨勝久,鈴木雅之,no,劇情、懸疑、驚悚,,0,0,"419,422"
2019/3/15,情敵,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1743491,0,James Kent,Keira Knightley,Alexander Skarsg?rd,Jason Clarke,Martin Compston,Joe Shrapnel、Anna Waterhouse,no,劇情、愛情、戰爭,,101,14,"34,163"
2019/3/15,活個精彩,"STX Productions, LLC",6445334,0,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,no,Jon Hartmere,3750萬,喜劇、劇情,,213,6,"46,311"
2019/3/15,鬼裔,METRO-GOLDWYN-MAYER STUDIOS INC.,7330663,0,Nicholas McCarthy,Taylor Schilling,Jackson Robert Scott,no,no,Jeff Buhler,600萬,恐怖、驚悚,,88,5,"45,915"
